"lab","m_males","s_males","n_males","m_females","s_females","n_females","sdifference","scilow","scihigh","sd","sdcilow","sdcihigh","odifference","od","capture","repcapturerate"
"abington",0.0808151086316811,0.462249616987464,24,0.454090431711682,0.467015047526196,53,0.373275323080001,0.143461052519058,0.603089593640943,0.804923368500611,0.303337566880612,1.30149183337338,0.258330899915188,0.568481243509444,TRUE,0.857142857142857
"brasilia",0.399756637367889,0.516286901366489,48,0.570311251730099,0.422959447520084,65,0.17055461436221,-0.0105247443664475,0.351633973090868,0.356160065177828,-0.020554599121382,0.73129588646027,0.262609154883086,0.579905643732238,TRUE,0.657142857142857
"charles",0.34020899232457,0.4526633256802,22,0.735131969249299,0.418780021743441,58,0.394922976924729,0.169536678407117,0.620309275442341,0.890261202167502,0.377422182503019,1.39780931201804,0.257573706483857,0.566633668533745,TRUE,0.8
"conncoll",0.359331715867521,0.409349054626294,29,0.577599455660234,0.46346974728616,57,0.218267739792713,0.0230176194767264,0.413517860108699,0.509538181345397,0.0544390837107363,0.961692016379109,0.260513668251064,0.575007449477395,TRUE,0.942857142857143
"csun",0.31376035071234,0.487856737841887,16,0.319679753296012,0.50599643151597,72,0.00591940258367213,-0.275093297300763,0.286932102468108,0.0120507859070106,-0.529692606676664,0.553724216276765,0.263975834228048,0.583422326134473,FALSE,0.542857142857143
"help",0.259364345243654,0.439688943770572,28,0.341022076785771,0.434867171163763,69,0.0816577315421178,-0.115643833997266,0.278959297081501,0.186304491734332,-0.254147277928875,0.625780397797888,0.262937297157414,0.583330602982552,TRUE,0.457142857142857
"ithaca",0.274598569770319,0.5574236989603,17,0.55993579719662,0.456669531895131,71,0.2853372274263,-0.0171972302980547,0.587871685150655,0.528962189834638,-0.00761520733079785,1.06253252180524,0.259227073349872,0.572530570969804,TRUE,1
"jmu",0.101675487880484,0.542068742912198,30,0.51489338120963,0.488926885400475,137,0.413217893329146,0.196106774850381,0.630329011807912,0.775394771142323,0.370441092844566,1.17809622234516,0.257441661775056,0.565957549597127,TRUE,0.685714285714286
"ku",0.109995070342855,0.419899646974168,41,0.511464430807614,0.490668589435586,64,0.401469360464759,0.223205005647621,0.579733715281898,0.894414048443789,0.481820966271795,1.30303542931707,0.256515141047355,0.565302435072961,TRUE,0.657142857142857
"laurier",0.169173807218145,0.440071718389692,49,0.580389893265889,0.41030309462263,59,0.411216086047744,0.247533948997919,0.574898223097568,0.963434780192729,0.561034537642453,1.36174871742652,0.256367950198169,0.562986751602547,TRUE,0.628571428571429
"lse",0.160115406101726,0.482676686347205,91,0.521867969598853,0.452669650829567,176,0.361752563497127,0.241292646430974,0.482212480563279,0.765348879658639,0.503361725102813,1.02597779014938,0.254529845233786,0.562410232043739,TRUE,0.628571428571429
"luc",0.0965168184692736,0.460394418000524,20,0.481390748030893,0.450523168552728,121,0.384873929561619,0.156864249534307,0.612883609588931,0.838492211156739,0.353807887365729,1.32028217991624,0.259294065888239,0.567235355962088,TRUE,0.828571428571429
"mcdaniel",0.250539655918006,0.537957796656215,20,0.553345494704463,0.457799223618436,71,0.302805838786457,0.0320908879207298,0.573520789652185,0.580757365385857,0.0757482485905536,1.08259745062757,0.259102593570062,0.57169983427239,TRUE,0.971428571428571
"msvu",0.44770723239515,0.542267936752989,9,0.637255989222502,0.478581355437083,52,0.189548756827352,-0.23794920224671,0.617046715901415,0.355392810533059,-0.356588978273706,1.06439264344552,0.259177402376301,0.575122735491164,TRUE,1
